TT,Chỉ tiêu,,,,,,,,,,,,,,,,,TỔNG
A,THUỐC NỔ NHŨ TƯƠNG LÒ ĐÁ,,,,,,,,,,,,,,,,,
A.1.1,Thuốc nổ NTLĐ - D32,,,,,,,,,,,,,,,,,
A.1.2,Thuốc nổ NTLĐ - D36,,,,,,,,,,,,,,,,,
A.1.3,Thuốc nổ NTLĐ - D60,,,,,,,,,,,,,,,,,
A.1.4,Thuốc nổ NTLĐ - D80,,,,,,,,,,,,,,,,,
A.1.5,Thuốc nổ NTLĐ - D90,,,,,,,,,,,,,,,,,
A.1.6,Thuốc nổ NTLĐ - D70,,,,,,,,,,,,,,,,,
B,THUỐC NỔ NHŨ TƯƠNG LÒ THAN,,,,,,,,,,,,,,,,,
B.1.1,Thuốc nổ NTLT - D36,,,,,,,,,,,,,,,,,
B.1.2,Thuốc nổ NTLT - D80,,,,,,,,,,,,,,,,,
C,THUỐC NỔ NHŨ TƯƠNG LÒ ĐÁ 2,,,,,,,,,,,,,,,,,
C.1.1,Thuốc nổ NTLĐ2 - D32,,,,,,,,,,,,,,,,,
C.1.2,Thuốc nổ NTLĐ2 - D80,,,,,,,,,,,,,,,,,
D,THUỐC NỔ NHŨ TƯƠNG LÒ THAN 2,,,,,,,,,,,,,,,,,
D.1.1,Thuốc nổ NTLT2-D36,,,,,,,,,,,,,,,,,
D.1.2,Thuốc nổ NTLT2-D80,,,,,,,,,,,,,,,,,
F,THUỐC NỔ NTR08,,,,,,,,,,,,,,,,,
F.1.1,"Thuốc nổ NTR08-D180, 12kg/túi",,,,,,,,,,,,,,,,,
F.1.2,"Thuốc nổ NTR08-D130, 5kg/túi",,,,,,,,,,,,,,,,,
F.1.3,"Thuốc nổ NTR08-D130, 6kg/túi",,,,,,,,,,,,,,,,,
F.1.4,"Thuốc nổ NTR08-D120, 4kg/túi",,,,,,,,,,,,,,,,,
F.1.5,"Thuốc nổ NTR08-D90, 2kg/túi",,,,,,,,,,,,,,,,,
F.1.6,"Thuốc nổ NTR08-D90, 3kg/túi",,,,,,,,,,,,,,,,,
F.1.7,"Thuốc nổ NTR08-D80, 2kg/túi",,,,,,,,,,,,,,,,,
G,THUỐC NỔ NTR10,,,,,,,,,,,,,,,,,
G.1.1,"Thuốc nổ NTR10-D180, 12kg/túi",,,,,,,,,,,,,,,,,
G.1.2,"Thuốc nổ NTR10-D130, 5kg/túi",,,,,,,,,,,,,,,,,
G.1.3,"Thuốc nổ NTR10-D130, 6kg/túi",,,,,,,,,,,,,,,,,
G.1.4,"Thuốc nổ NTR10-D120, 4kg/túi",,,,,,,,,,,,,,,,,
G.1.5,"Thuốc nổ NTR10-D90, 2kg/túi",,,,,,,,,,,,,,,,,
G.1.6,"Thuốc nổ NTR10-D90, 3kg/túi",,,,,,,,,,,,,,,,,
G.1.7,"Thuốc nổ NTR10-D80, 2kg/túi",,,,,,,,,,,,,,,,,
G.1.8,"Thuốc nổ NTR10-D160, 12kg/túi",,,,,,,,,,,,,,,,,
H,THUỐC NỔ HPEX01,,,,,,,,,,,,,,,,,
H.1.1,Thuốc nổ HPEX01-D80 2kg,,,,,,,,,,,,,,,,,
H.1.2,Thuốc nổ HPEX01-D80 1kg,,,,,,,,,,,,,,,,,
H.1.3,Thuốc nổ HPEX01-D32 200g,,,,,,,,,,,,,,,,,
H.1.4,Thuốc nổ HPEX01-D60 1kg,,,,,,,,,,,,,,,,,
J,THUỐC NỔ ANFO,,,,,,,,,,,,,,,,,
J.1.4,Thuốc nổ ANFO bao gói loại 25kg/bao,,,,,,,,,,,,,,,,,
J.1.5,Thuốc nổ ANFO bao gói loại D90,,,,,,,,,,,,,,,,,
J.1.6,"Thuốc nổ ANFO bao gói loại D90, 2 lớp",,,,,,,,,,,,,,,,,
J.1.7,Thuốc nổ ANFO bao gói loại D80,,,,,,,,,,,,,,,,,
J.1.8,"Thuốc nổ ANFO bao gói loại D80, 2 lớp",,,,,,,,,,,,,,,,,
J.1.9,"Thuốc nổ ANFO bao gói loại D70, 2 lớp",,,,,,,,,,,,,,,,,
J.1.10,"Thuốc nổ ANFO bao gói loại D60, 2 lớp, 1,5kg/t",,,,,,,,,,,,,,,,,
J.1.11,"Thuốc nổ ANFO bao gói loại D60, 2 lớp, 1,0kg/t",,,,,,,,,,,,,,,,,
J.1.12,"Thuốc nổ ANFO bao gói loại D120, 5kg",,,,,,,,,,,,,,,,,
L,THUỐC NỔ NTR11,,,,,,,,,,,,,,,,,
L.1.1,"Thuốc nổ NTR11-D180, 12kg/túi",,,,,,,,,,,,,,,,,
L.1.2,"Thuốc nổ NTR11-D130, 5kg/túi",,,,,,,,,,,,,,,,,
L.1.3,"Thuốc nổ NTR11-D130, 6kg/túi",,,,,,,,,,,,,,,,,
L.1.4,"Thuốc nổ NTR11-D120, 4kg/túi",,,,,,,,,,,,,,,,,
L.1.5,"Thuốc nổ NTR11-D90, 2kg/túi",,,,,,,,,,,,,,,,,
L.1.6,"Thuốc nổ NTR11-D90, 3kg/túi",,,,,,,,,,,,,,,,,
L.1.7,"Thuốc nổ NTR11-D80, 2kg/túi",,,,,,,,,,,,,,,,,
L.1.8,"Thuốc nổ NTR11-D160, 12kg/túi",,,,,,,,,,,,,,,,,
